Sr.No,Name,Brand,UnitPrice,DicountPrice,Category,SubCategory,Quantity
143,Premia Kismis Indian (Raisins),Premia,42,33,Grocery,Grocery/Dry Fruits,100 gm
144,Premia Kismis Indian (Raisins),Premia,81,63,Grocery,Grocery/Dry Fruits,200 gm
145,Premia Kismis Indian (Raisins),Premia,186,146,Grocery,Grocery/Dry Fruits,500 gm
146,Chana Small,Local Brand,94,81,Grocery,Pulses,1 kg
147,Chana Small,Local Brand,48,42,Grocery,Pulses,500 gm
148,Chana Big,Local Brand,73,61,Grocery,Pulses,500 gm
149,Tata Sampann Masoor Dal,Tata,86,72,Grocery,Dals,500 gm
150,Tata Sampann Masoor Dal,Tata,170,145,Grocery,Dals,1 kg
151,Premia Kismis Black (Raisins),Premia,60,44,Grocery,Grocery/Dry Fruits,100 gm
152,Premia Kismis Black (Raisins),Premia,119,91,Grocery,Grocery/Dry Fruits,200 gm
153,Nutraj Raisins - Kishmish,Nutraj,299,169,Grocery,Dry Fruits,500 gm
154,Chana Green,Local Brand,144,118,Grocery,Pulses,500 gm
155,Premia Kismis Black Seedless,Premia,47,34,Grocery,Dry Fruits,100 gm
156,Satyam Masur Dal,Satyam,93,86,Grocery,Dals,500 gm
157,Mahafruit Premium Quality Kishmish (Raisins),Mahafruit,95,65,Grocery,Dry Fruits,200 gm
158,Mahafruit Premium Quality Kishmish (Raisins),Mahafruit,215,149,Grocery,Dry Fruits,500 gm
159,Premia Kismis Selected (Raisins),Premia,73,54,Grocery,Grocery/Dry Fruits,100 gm
160,Premia Kismis Selected (Raisins),Premia,148,100,Grocery,Grocery/Dry Fruits,200 gm
161,Satyam Chana Mosambi,Satyam,90,83,Grocery,Pulses,500 gm
162,KMK Black Raisins Seedless (Kismis),Kanji Manji Kothari,150,94,Grocery,Dry Fruits,200 gm
163,KMK Green Raisins Afghan (Kismis),Kanji Manji Kothari,215,124,Grocery,Dry Fruits,200 gm
164,Satyam Chana Small,Satyam,67,62,Grocery,Pulses,500 gm
165,Organic Tattva Kala Chana,Organic Tattva,85,59,Grocery,Pulses,500 gm
166,Satyam Chana Green,Satyam,175,162,Grocery,Pulses,500 gm
167,Carnival Premium Seedless Black Raisins,Carnival,270,135,Grocery,Dry Fruits,250 gm
168,Tata Sampann Organic Unpolished Brown (Kala) Chana,Tata Sampann,90,75,Grocery,Pulses,500 gm
169,Nutraj California Walnut Kernels (Akrod Magaj),Nutraj,499,299,Grocery,Dry Fruits,200 gm
170,Premia Akrod Magaj (Walnut Kernels),Premia,220,172,Grocery,Grocery/Dry Fruits,100 gm
171,Nutraj California Whole Walnut (Akrod),Local Brand,999,499,Grocery,Dry Fruits,1 Kg
172,Daliya,Local Brand,30,25,Grocery,Dals,200 gm
173,Daliya,Local Brand,72,59,Grocery,Dals,500 gm
174,Nutraj Daily Walnut Kernels,Nutraj,899,529,Grocery,Dry Fruits,500 gm
175,Udid (Urad) Black Whole,Local Brand,76,65,Grocery,Pulses,500 gm
176,KMK Walnut Shell (Whole),KMK,475,349,Grocery,Dry Fruits,500 gm
177,KMK Walnut Kernel (Akrod),Kanji Manji Kothari,325,260,Grocery,Dry Fruits,150 gm
178,Satyam Dalia,Satyam,45,41,Grocery,Dals,200 gm
179,Satyam Udid (Urad) Whole,Satyam,106,98,Grocery,Pulses,500 gm
180,Moong Whole,Local Brand,73,60,Grocery,Pulses,500 gm
181,Mix Dal,Local Brand,72,60,Grocery,Dals,500 gm
182,Mix Dal,Local Brand,141,120,Grocery,Dals,1 kg
183,Satyam Moong Whole,Satyam,109,101,Grocery,Pulses,500 gm
184,Premia Jardalu,Premia,78,61,Grocery,Grocery/Dry Fruits,100 gm
185,Premia Dry Apricot,Premia,299,200,Grocery,Grocery/Dry Fruits,200 gm
186,24 Mantra Organic Green Moong Whole,24 Mantra Organic,125,116,Grocery,Pulses,500 gm
187,Dal - Rice Mix,Local Brand,47,41,Grocery,Dals,500 gm
188,Masoor Whole,Local Brand,65,54,Grocery,Pulses,500 gm
189,Masoor Whole,Local Brand,125,106,Grocery,Pulses,1 kg
190,Premia Mixed Dry Fruits,Premia,127,98,Grocery,Grocery/Dry Fruits,200 gm
191,Premia Mixed Dry Fruits,Premia,314,244,Grocery,Grocery/Dry Fruits,500 gm
192,Nutraj Mix Dry Fruits,Nutraj,399,259,Grocery,Dry Fruits,450 gm
193,Satyam Masoor Whole,Satyam,90,83,Grocery,Pulses,500 gm
194,KMK Cranberry Whole,Kanji Manji Kothari,199,139,Grocery,Dry Fruits,200 gm
195,KMK Mix Mewa Cut Dry Fruits,Kanji Manji Kothari,250,231,Grocery,Dry Fruits,200 gm
196,Carnival Cranberry Premium Whole,Carnival,225,160,Grocery,Dry Fruits,200 gm
197,Carnival Cranberry Classic Sliced,Carnival,205,119,Grocery,Dry Fruits,200 gm
198,Carnival Dried Blueberry,Carnival,299,199,Grocery,Dry Fruits,100 gm
199,Carnival Cranberry Whole,Carnival,149,99,Grocery,Dry Fruits,100 gm
200,Vatana White,Local Brand,61,51,Grocery,Pulses,500 gm
201,Vatana Green,Local Brand,72,60,Grocery,Pulses,500 gm
202,Satyam Safed (White) Vatana,Satyam,109,101,Grocery,Pulses,500 gm
203,Vatana Black,Local Brand,51,45,Grocery,Pulses,500 gm
204,Satyam Vatana Green,Satyam,129,119,Grocery,Pulses,500 gm
205,KMK Charoli,KMK,221,160,Grocery,Dry Fruits,100 gm
206,Premia Charoli,Premia,229,162,Grocery,Dry Fruits,100 gm
207,Premia Charoli,Premia,120,88,Grocery,Dry Fruits,50 gm
208,Satyam Vatana Black,Satyam,70,65,Grocery,Pulses,500 gm
209,Makhana,Local Brand,99,82,Grocery,Dry Fruits,100 gm
210,Makhana,Local Brand,193,170,Grocery,Dry Fruits,200 gm
211,Matki,Local Brand,82,66,Grocery,Pulses,500 gm
212,Matki,Local Brand,161,131,Grocery,Pulses,1 kg
213,Matki Small,Local Brand,113,91,Grocery,Pulses,500 gm
214,Morya Phool Makhana (Fox Nuts),Morya,130,99,Grocery,Dry Fruits,100 gm
215,Mixed Pulses For Sprout,Local Brand,65,53,Grocery,Pulses,500 gm
216,Wal,Local Brand,131,102,Grocery,Pulses,500 gm
217,Moong Whole Small,Local Brand,62,56,Grocery,Pulses,500 gm
218,Satyam Math (Matki),Satyam,129,119,Grocery,Pulses,500 gm
219,Satyam Wal Kadwa,Satyam,214,199,Grocery,Pulses,500 gm
220,Mix Chana Vatana (for Sprout),Local Brand,71,59,Grocery,Pulses,500 gm
221,Ranguni Wal,Local Brand,89,76,Grocery,Pulses,500 gm
222,Satyam Makhana,Satyam,97,90,Grocery,Dry Fruits,50 gm
223,Wal Papdi,Local Brand,87,81,Grocery,Pulses,500 gm
224,Satyam Wal,Satyam,182,169,Grocery,Pulses,500 gm
225,KMK Anjeer (Figs),Kanji Manji Kothari,355,303,Grocery,Dry Fruits,200 gm
226,Premia Anjeer (Figs),Premia,162,124,Grocery,Grocery/Dry Fruits,100 gm
227,Kulith (Horse Gram),Local Brand,62,48,Grocery,Pulses,500 gm
228,Carnival Premium Anjeer Figs,Carnival,495,370,Grocery,Dry Fruits,250 gm
229,Nutraj Signature Fig (Anjeer) Gold,Nutraj,449,249,Grocery,Dry Fruits,250 gm
230,Premia Groundnut,Premia,107,88,Grocery,Pulses,500 gm
231,Premia Groundnut,Premia,215,179,Grocery,Pulses,1 kg
232,Satyam Singdana (Groundnut),Satyam,119,101,Grocery,Masala & Spices,500 gm
233,24 Mantra Organic Peanut,24 Mantra Organic,145,120,Grocery,Pulses,500 gm
234,Organic Tattva Groundnuts (Peanuts),Organic Tattva,145,102,Grocery,Pulses,500 gm
235,Premia Sugar,Premia,56,45,Grocery,Grocery/Salt / Sugar / Jaggery,1 kg
236,Premia Sugar,Premia,271,224,Grocery,Grocery/Salt / Sugar / Jaggery,5 kg
237,Premia Cow Ghee Pouch,Premia,575,535,Grocery,Ghee & Vanaspati,1 L
238,Premia Poha Jada,Premia,64,52,Grocery,Grocery/Rice & Rice Products,1 kg
239,Premia Poha Jada,Premia,33,27,Grocery,Grocery/Rice & Rice Products,500 gm
240,Premia Jeera,Premia,48,38,Grocery,Grocery/Masala & Spices,100 gm
241,Premia Jeera,Premia,92,75,Grocery,Grocery/Masala & Spices,200 gm
242,Premia Jeera,Premia,217,168,Grocery,Grocery/Masala & Spices,500 gm
243,Premia Sabudana,Premia,52,42,Grocery,Grocery/Flours & Grains,500 gm
244,Premia Sabudana,Premia,114,75,Grocery,Grocery/Flours & Grains,1 kg
245,Premium Jaggery,Local Brand,80,59,Grocery,Grocery/Salt / Sugar / Jaggery,900 gm
246,Premia Green Elaichi,Premia,55,47,Grocery,Grocery/Masala & Spices,20 gm
247,Premia Green Elaichi,Premia,130,118,Grocery,Grocery/Masala & Spices,50 gm
248,Premia Dry Coconut,Premia,93,73,Grocery,Grocery/Masala & Spices,200 gm
249,Premia Dry Coconut,Premia,195,149,Grocery,Grocery/Masala & Spices,500 gm
250,Keshar Premium Natural Jaggery Jar,Keshar,100,95,Grocery,Grocery/Salt / Sugar / Jaggery,900 gm
251,Premia Black Pepper,Premia,112,89,Grocery,Grocery/Masala & Spices,100 gm
252,Premia Black Pepper,Premia,60,49,Grocery,Grocery/Masala & Spices,50 gm
253,Premia Black Pepper,Premia,220,169,Grocery,Grocery/Masala & Spices,200 gm
254,Premia Dhaniya,Premia,74,61,Grocery,Grocery/Masala & Spices,200 gm
255,Premia Dhaniya,Premia,144,115,Grocery,Grocery/Masala & Spices,400 gm
256,Premia Kashmiri Chilli Powder Deluxe,Premia,60,49,Grocery,Grocery/Masala & Spices,100 gm
257,Premia Kashmiri Chilli Powder Deluxe,Premia,113,88,Grocery,Grocery/Masala & Spices,200 gm
258,Premia Kashmiri Chilli Powder Deluxe,Premia,275,225,Grocery,Grocery/Masala & Spices,500 gm
259,Premia Badishep,Premia,44,35,Grocery,Grocery/Masala & Spices,100 gm
260,Premia Badishep,Premia,84,67,Grocery,Grocery/Masala & Spices,200 gm
261,Premia Badishep,Premia,173,133,Grocery,Grocery/Masala & Spices,500 gm
262,Premia Rai,Premia,22,17,Grocery,Grocery/Masala & Spices,100 gm
263,Premia Rai,Premia,40,33,Grocery,Grocery/Masala & Spices,200 gm
264,Premia Rai,Premia,85,67,Grocery,Grocery/Masala & Spices,500 gm
265,Premia Kashmiri Chilli Powder,Premia,540,436,Grocery,Grocery/Masala & Spices,1 kg
266,Mamra (Puffed Rice),Local Brand,60,40,Grocery,Grocery/Rice & Rice Products,500 gm
267,Jaggery,Plain Jaggery,45,34,Grocery,Grocery/Salt / Sugar / Jaggery,450 gm
268,Jaggery,Plain Jaggery,90,64,Grocery,Grocery/Salt / Sugar / Jaggery,900 gm
269,Premia Cassia Taj,Premia,110,90,Grocery,Grocery/Masala & Spices,100 gm
270,Premia Haldi Powder Deluxe,Premia,21,17,Grocery,Grocery/Masala & Spices,100 gm
271,Premia Haldi Powder Deluxe,Premia,39,30,Grocery,Grocery/Masala & Spices,200 gm
272,Premia Haldi Powder Deluxe,Premia,81,69,Grocery,Grocery/Masala & Spices,500 gm
273,Premia Haldi Powder Deluxe,Premia,158,119,Grocery,Grocery/Masala & Spices,1 kg
274,Premia Dhania Powder Deluxe,Premia,24,20,Grocery,Grocery/Masala & Spices,100 gm
275,Premia Dhania Powder Deluxe,Premia,107,80,Grocery,Grocery/Masala & Spices,500 gm
276,Premia Dhania Powder Deluxe,Premia,191,142,Grocery,Grocery/Masala & Spices,1 kg
277,Premia Ajma,Local Brand,60,50,Grocery,Grocery/Masala & Spices,100 gm
278,Premia Emli,Premia,53,40,Grocery,Grocery/Masala & Spices,200 gm
279,Premia Emli,Premia,111,90,Grocery,Grocery/Masala & Spices,500 gm
280,Premia Rai Small,Premia,19,15,Grocery,Grocery/Masala & Spices,100 gm
281,Premia Rai Small,Premia,35,26,Grocery,Grocery/Masala & Spices,200 gm
282,Premia Rai Small,Premia,72,57,Grocery,Grocery/Masala & Spices,500 gm
283,Premia Poha Patla,Premia,37,30,Grocery,Grocery/Rice & Rice Products,500 gm
284,Premia Til White,Premia,29,21,Grocery,Grocery/Masala & Spices,100 gm
285,Premia Til White,Premia,128,98,Grocery,Grocery/Masala & Spices,500 gm
286,Premia Coconut Powder,Premia,66,51,Grocery,Grocery/Masala & Spices,200 gm
287,Premia Lukhnowi Badishep,Premia,43,33,Grocery,Grocery/Masala & Spices,100 gm
288,Premia Khaskhas,Premia,118,96,Grocery,Grocery/Masala & Spices,50 gm
289,Premia Green Elaichi Economy,Premia,16,14,Grocery,Grocery/Masala & Spices,10 gm
290,Premia Star Anise (Badiyan),Premia,170,138,Grocery,Grocery/Masala & Spices,100 gm
291,Premia Guntur Chilli,Premia,71,51,Grocery,Grocery/Masala & Spices,100 gm
292,Premia Roasted Badishep,Premia,35,24,Grocery,Grocery/Masala & Spices,100 gm
293,Premia Lawang,Premia,40,32,Grocery,Grocery/Masala & Spices,20 gm
294,Premia Lawang,Premia,92,72,Grocery,Grocery/Masala & Spices,50 gm
295,Premia Dhaniya Dal,Premia,66,42,Grocery,Grocery/Masala & Spices,100 gm
296,Premia Poha Basmati,Premia,57,47,Grocery,Grocery/Rice & Rice Products,500 gm
297,Premia Kasoori Methi,Premia,54,35,Grocery,Grocery/Masala & Spices,100 gm
298,Premia Methi,Premia,17,15,Grocery,Grocery/Masala & Spices,100 gm
299,Premia Methi,Premia,72,55,Grocery,Grocery/Masala & Spices,500 gm
300,Premia Sabja,Premia,47,34,Grocery,Grocery/Masala & Spices,100 gm
301,Premia Jeera Powder Deluxe,Premia,40,30,Grocery,Grocery/Masala & Spices,100 gm
302,Premia Jeera Powder Deluxe,Premia,77,60,Grocery,Grocery/Masala & Spices,200 gm
303,Premia Sabudana Small,Premia,59,40,Grocery,Grocery/Flours & Grains,500 gm
304,Premia Black Pepper Powder,Premia,112,85,Grocery,Grocery/Masala & Spices,100 gm
305,Premia Shaha Jeera,Premia,44,35,Grocery,Grocery/Masala & Spices,50 gm
306,Premia Alsi,Premia,19,15,Grocery,Grocery/Masala & Spices,100 gm
307,Premia Bedgi Chilli,Premia,100,68,Grocery,Grocery/Masala & Spices,100 gm
308,Premia Chilli Kashmiri,Premia,132,79,Grocery,Grocery/Masala & Spices,100 gm
309,Amchur Powder,Premia,40,34,Grocery,Grocery/Masala & Spices,100 gm
310,Kolhapuri Surati Kurmura,Local Brand,80,46,Grocery,Grocery/Rice & Rice Products,500 gm
311,Premia Garam Masala Powder Deluxe,Premia,56,51,Grocery,Grocery/Masala & Spices,100 gm
312,Premia Garam Masala Powder Deluxe,Premia,108,96,Grocery,Grocery/Masala & Spices,200 gm
313,Premia Jaipatri (Mace),Premia,136,104,Grocery,Grocery/Masala & Spices,20 gm
314,Premia Tej Patta,Premia,20,14,Grocery,Grocery/Masala & Spices,50 gm
315,Premia Masala Elaichi,Premia,172,145,Grocery,Grocery/Masala & Spices,100 gm
316,Premia Dhania Powder,Premia,46,35,Grocery,Grocery/Masala & Spices,200 gm
317,Premia Sugar Crystals (Khadi Shakkar),Premia,20,16,Grocery,Grocery/Salt / Sugar / Jaggery,200 gm
318,Premia Dhania Jeera Mix Khandela,Premia,31,24,Grocery,Grocery/Masala & Spices,100 gm
319,Premia Dhania Jeera Mix Khandela,Premia,59,43,Grocery,Grocery/Masala & Spices,200 gm
